Reporte:,Detalle de facturas de grupos de locales,,,,,,,,,,,,
Periodo:,01 de agosto de 2024 al 31 de agosto de 2024,,,,,,,,,,,,
,,,,,,,,,,,,,
Nombre Local,ID Factura,Fecha Fin Transaccion,Codigo Interno del Producto,Codigo producto (Elemetrica),Descripcion del Producto,Descripcion de la Categoria,Categoria 2,Subtotal,Descuentos,Impuestos,Total,Unidades Vendidas,Precio
Restaurant 1,20240801_283561_V10G,1/8/24 16:35,2250,casacasco01-5d78e012c5714e63_2250_da04bf4b90eea22c,Croquetas de Salmon,Entrantes,TERRAZA,15,0,1.05,16.05,1,15
Restaurant 1,20240801_283561_V10G,1/8/24 16:35,3204,casacasco01-5d78e012c5714e63_3204_7f6d6ff93fafa480,Empanaditas Ropa Vieja,Entrantes,TERRAZA,15,0,1.05,16.05,1,15
Restaurant 1,20240801_283561_V10G,1/8/24 16:35,11000010,casacasco01-5d78e012c5714e63_11000010_c153699ccee59b66,Corona Botella 355ML, Bebidas Alcoholicas, CERVEZA,12,0,0.84,12.84,2,6
Restaurant 1,20240801_283561_V10G,1/8/24 16:35,988,casacasco01-5d78e012c5714e63_988_14dc863869ad6c45,Amapola, Bebidas No Alcoholicas, JUGOS,8,0,0.56,8.56,1,8
Restaurant 1,20240801_283561_V10G,1/8/24 16:35,21800006,casacasco01-5d78e012c5714e63_21800006_8573fc820c71742c,Jugo  Pina Vaso, Bebidas No Alcoholicas, JUGOS,6,0,0.42,6.42,1,6
Restaurant 1,20240801_283561_V10G,1/8/24 16:35,744,casacasco01-5d78e012c5714e63_744_5ed9bc898cd66bae,Vaso Chelado, Bebidas Alcoholicas, CERVEZA,3,0,0.21,3.21,2,1.5
Restaurant 1,20240801_283562_V10G,1/8/24 16:42,526,casacasco01-5d78e012c5714e63_526_6ab155f46aa7d4e7,Flor de Cana 18 Serv 750M, Bebidas Alcoholicas, RON,260,0,18.2,278.2,2,130
Restaurant 1,20240801_283562_V10G,1/8/24 16:42,3217,casacasco01-5d78e012c5714e63_3217_f6bb3344b6d68d22,Picada Panamena,Principales,TERRAZA,30,0,2.1,32.1,1,30
Restaurant 1,20240801_283562_V10G,1/8/24 16:42,666,casacasco01-5d78e012c5714e63_666_87e5996b213f88ba,Smoky Ruby, Bebidas Alcoholicas, HOUSE COCKTAILS,13.5,0,0.95,14.45,1,13.5
Restaurant 1,20240801_283562_V10G,1/8/24 16:42,2050,casacasco01-5d78e012c5714e63_2050_04e2bd6cd45f7c4d,Green Fizz, Bebidas Alcoholicas, HOUSE COCKTAILS,13,0,0.91,13.91,1,13
Restaurant 1,20240801_283562_V10G,1/8/24 16:42,21500003,casacasco01-5d78e012c5714e63_21500003_58847228b3f68369,Agua Panama Blue 500 ml, Bebidas No Alcoholicas, AGUA,5,0,0.35,5.35,1,5
Restaurant 1,20240801_283562_V10G,1/8/24 16:42,368,casacasco01-5d78e012c5714e63_368_7459f64b9b7e4361,CocaCola 354 ML, Bebidas No Alcoholicas, SODA,3.5,0,0.25,3.75,1,3.5
Restaurant 2,20240801_102431_V11G,1/8/24 16:46,52300003,casacasco02-845854d65a4841e5_52300003_88017d091cd42dc8,Casacasco Roll,Principales,TERRAZA,14,4.2,0.69,10.49,1,14
Restaurant 1,20240801_283565_V10G,1/8/24 17:03,11000015,casacasco01-5d78e012c5714e63_11000015_1df5bd2f7d4b869e,Balboa Roja lata 330 ml, Bebidas Alcoholicas, CERVEZA,30,0,2.1,32.1,6,5
Restaurant 1,20240801_283565_V10G,1/8/24 17:03,634,casacasco01-5d78e012c5714e63_634_3a5bfde5a81e344e,Modelo Especial, Bebidas Alcoholicas, CERVEZA,30,0,2.1,32.1,5,6
Restaurant 1,20240801_283565_V10G,1/8/24 17:03,3204,casacasco01-5d78e012c5714e63_3204_7f6d6ff93fafa480,Empanaditas Ropa Vieja,Entrantes,TERRAZA,15,0,1.05,16.05,1,15
Restaurant 1,20240801_283565_V10G,1/8/24 17:03,517,casacasco01-5d78e012c5714e63_517_a7557a8b4f75294a,Cerveza Ley Seca Botella, Bebidas Alcoholicas, CERVEZA,6.5,0,0.46,6.96,1,6.5
Restaurant 1,20240801_283565_V10G,1/8/24 17:03,520,casacasco01-5d78e012c5714e63_520_5a9d563b00a3d6f1,Cerveza Nomada Botella, Bebidas Alcoholicas, CERVEZA,6.5,0,0.46,6.96,1,6.5
Restaurant 2,20240801_102410_V11G,1/8/24 17:48,3235,casacasco02-845854d65a4841e5_3235_d43ba579fd532688,Frituras de Pez Leon,Principales,TERRAZA,60,0,4.2,64.2,2,30
Restaurant 2,20240801_102410_V11G,1/8/24 17:48,3221,casacasco02-845854d65a4841e5_3221_f6bb3344b6d68d22,Picada Panamena,Principales,TERRAZA,30,0,2.1,32.1,1,30
Restaurant 2,20240801_102410_V11G,1/8/24 17:48,3184,casacasco02-845854d65a4841e5_3184_dcd7caf0c81557db,Patacones de Pernil,Entrantes,TERRAZA,16,0,1.12,17.12,1,16
Restaurant 2,20240801_102410_V11G,1/8/24 17:48,694,casacasco02-845854d65a4841e5_694_d99dd7663179a996,Lavazza Cafe, Bebidas No Alcoholicas, CAFE,15,0,1.05,16.05,3,5
Restaurant 2,20240801_102410_V11G,1/8/24 17:48,21800012,casacasco02-845854d65a4841e5_21800012_d314301b86a2d6d0,Limonada frozen sin alcohol, Bebidas No Alcoholicas, JUGOS,12,0,0.84,12.84,2,6
Restaurant 2,20240801_102410_V11G,1/8/24 17:48,1759,casacasco02-845854d65a4841e5_1759_70b572bcd1a9818b,Casco Flower, Bebidas No Alcoholicas, MOCKTAILS,6.5,0,0.46,6.96,1,6.5
Restaurant 2,20240801_102410_V11G,1/8/24 17:48,1039,casacasco02-845854d65a4841e5_1039_e4b5b8c1425ce49c,Crema de Coco Extra, Bebidas Alcoholicas, COCTELES CLASICOS,2.5,0,0.18,2.68,1,2.5
Restaurant 1,20240801_283564_V10G,1/8/24 17:52,2367,casacasco01-5d78e012c5714e63_2367_83072fd53a540586,Sushi Boat (2 pax),Principales,TERRAZA,23,0,1.61,24.61,1,23
Restaurant 1,20240801_283564_V10G,1/8/24 17:52,1791,casacasco01-5d78e012c5714e63_1791_36e8f7de021639c5,Pizza Hawaiana,Principales,TERRAZA,18,0,1.26,19.26,1,18
Restaurant 1,20240801_283564_V10G,1/8/24 17:52,52500004,casacasco01-5d78e012c5714e63_52500004_83aa8b6d9df648b1,Acevichado Rolls,Principales,TERRAZA,14,0,0.98,14.98,1,14
Restaurant 1,20240801_283564_V10G,1/8/24 17:52,1758,casacasco01-5d78e012c5714e63_1758_9ee179c048297b9b,Easy Beach, Bebidas No Alcoholicas, MOCKTAILS,13,0,0.91,13.91,2,6.5
Restaurant 1,20240801_283564_V10G,1/8/24 17:52,2047,casacasco01-5d78e012c5714e63_2047_c5bc9accd979fc17,Adventure, Bebidas Alcoholicas, HOUSE COCKTAILS,13,0,0.91,13.91,1,13
Restaurant 1,20240801_283564_V10G,1/8/24 17:52,10120001,casacasco01-5d78e012c5714e63_10120001_08b9646584cd93c5,Mojito Clasico, Bebidas Alcoholicas, MOJITOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20240801_283564_V10G,1/8/24 17:52,11100016,casacasco01-5d78e012c5714e63_11100016_cf365daeff3f9969,Pina Colada, Bebidas Alcoholicas, COCTELES CLASICOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20240801_283564_V10G,1/8/24 17:52,988,casacasco01-5d78e012c5714e63_988_14dc863869ad6c45,Amapola, Bebidas No Alcoholicas, JUGOS,8,0,0.56,8.56,1,8
Restaurant 1,20240801_283564_V10G,1/8/24 17:52,1759,casacasco01-5d78e012c5714e63_1759_70b572bcd1a9818b,Casco Flower, Bebidas No Alcoholicas, MOCKTAILS,6.5,0,0.46,6.96,1,6.5
Restaurant 1,20240801_283568_V10G,1/8/24 17:55,52300003,casacasco01-5d78e012c5714e63_52300003_88017d091cd42dc8,Casacasco Roll,Principales,TERRAZA,14,4.2,0.69,10.49,1,14
Restaurant 2,20240801_102411_V11G,1/8/24 18:02,3221,casacasco02-845854d65a4841e5_3221_f6bb3344b6d68d22,Picada Panamena,Principales,TERRAZA,30,0,2.1,32.1,1,30
Restaurant 2,20240801_102411_V11G,1/8/24 18:02,11100011,casacasco02-845854d65a4841e5_11100011_fd49c38b58786a50,Whisky Sour, Bebidas Alcoholicas, COCTELES CLASICOS,25,0,1.75,26.75,2,12.5
Restaurant 2,20240801_102411_V11G,1/8/24 18:02,3222,casacasco02-845854d65a4841e5_3222_c5276075bcd0bed6,Burger de las Antillas,Principales,TERRAZA,19,0,1.33,20.33,1,19
Restaurant 2,20240801_102411_V11G,1/8/24 18:02,11000015,casacasco02-845854d65a4841e5_11000015_1df5bd2f7d4b869e,Balboa Roja lata 330 ml, Bebidas Alcoholicas, CERVEZA,15,0,1.05,16.05,3,5
Restaurant 2,20240801_102411_V11G,1/8/24 18:02,21500014,casacasco02-845854d65a4841e5_21500014_9d3f88f1ab3faa01,Perrier Bot 330ML, Bebidas No Alcoholicas, AGUA,11,0,0.77,11.77,2,5.5
Restaurant 2,20240801_102411_V11G,1/8/24 18:02,3243,casacasco02-845854d65a4841e5_3243_66bdb316f51fa804,Ensalada Mixta,Entrantes,TERRAZA,7,0,0.49,7.49,1,7
Restaurant 2,20240801_102413_V11G,1/8/24 18:16,3227,casacasco02-845854d65a4841e5_3227_455aed9250164794,Pulpo al Wok,Principales,TERRAZA,30,0,2.1,32.1,1,30
Restaurant 2,20240801_102413_V11G,1/8/24 18:16,3199,casacasco02-845854d65a4841e5_3199_94c02a0b9fd88b8c,Carribean Cocounut Cocktail,Principales,TERRAZA,22,0,1.54,23.54,1,22
Restaurant 2,20240801_102413_V11G,1/8/24 18:16,3222,casacasco02-845854d65a4841e5_3222_c5276075bcd0bed6,Burger de las Antillas,Principales,TERRAZA,19,0,1.33,20.33,1,19
Restaurant 2,20240801_102417_V11G,1/8/24 18:18,1008,casacasco02-845854d65a4841e5_1008_53d28ec430e11798,Marques C Verd Copa, Bebidas Alcoholicas, VINO BLANCO,18,0,1.26,19.26,2,9
Restaurant 2,20240801_102417_V11G,1/8/24 18:18,3193,casacasco02-845854d65a4841e5_3193_d9adf7a56a683a9e,Torrejitas de Pescado,Principales,TERRAZA,12,0,0.84,12.84,1,12
Restaurant 2,20240801_102417_V11G,1/8/24 18:18,3243,casacasco02-845854d65a4841e5_3243_66bdb316f51fa804,Ensalada Mixta,Entrantes,TERRAZA,7,0,0.49,7.49,1,7
Restaurant 2,20240801_102417_V11G,1/8/24 18:18,21500003,casacasco02-845854d65a4841e5_21500003_58847228b3f68369,Agua Panama Blue 500 ml, Bebidas No Alcoholicas, AGUA,5,0,0.35,5.35,1,5
Restaurant 2,20240801_102417_V11G,1/8/24 18:18,3237,casacasco02-845854d65a4841e5_3237_36fff352ba082677,Patacones,Entrantes,TERRAZA,5,0,0.35,5.35,1,5
Restaurant 2,20240801_102414_V11G,1/8/24 18:20,3227,casacasco02-845854d65a4841e5_3227_455aed9250164794,Pulpo al Wok,Principales,TERRAZA,30,0,2.1,32.1,1,30
Restaurant 2,20240801_102414_V11G,1/8/24 18:20,3233,casacasco02-845854d65a4841e5_3233_5a6464834c6dc4e7,Pescado Entero Frito,Principales,TERRAZA,29,0,2.03,31.03,1,29
Restaurant 2,20240801_102414_V11G,1/8/24 18:20,11100010,casacasco02-845854d65a4841e5_11100010_4a51f0ee50366716,Margarita Patron, Bebidas Alcoholicas, COCTELES CLASICOS,14.5,0,1.02,15.52,1,14.5
Restaurant 2,20240801_102414_V11G,1/8/24 18:20,1677,casacasco02-845854d65a4841e5_1677_a786b2dd108489ba,Zombie, Bebidas Alcoholicas, KOBORE COCTELES,13,0,0.91,13.91,1,13
Restaurant 2,20240801_102414_V11G,1/8/24 18:20,1031,casacasco02-845854d65a4841e5_1031_862e6d14a186375f,Casa Cayuco, Bebidas Alcoholicas, KOBORE COCTELES,12.5,0,0.88,13.38,1,12.5
Restaurant 2,20240801_102414_V11G,1/8/24 18:20,3193,casacasco02-845854d65a4841e5_3193_d9adf7a56a683a9e,Torrejitas de Pescado,Principales,TERRAZA,12,0,0.84,12.84,1,12
Restaurant 2,20240801_102414_V11G,1/8/24 18:20,1046,casacasco02-845854d65a4841e5_1046_94854b99449a4959,Dona Paula Cardos Malbec Copa, Bebidas Alcoholicas, VINO TINTO,8,0,0.56,8.56,1,8
Restaurant 2,20240801_102414_V11G,1/8/24 18:20,21500014,casacasco02-845854d65a4841e5_21500014_9d3f88f1ab3faa01,Perrier Bot 330ML, Bebidas No Alcoholicas, AGUA,5.5,0,0.38,5.89,1,5.5
Restaurant 2,20240801_102414_V11G,1/8/24 18:20,694,casacasco02-845854d65a4841e5_694_d99dd7663179a996,Lavazza Cafe, Bebidas No Alcoholicas, CAFE,5,0,0.35,5.35,1,5
Restaurant 2,20240801_102412_V11G,1/8/24 18:45,3221,casacasco02-845854d65a4841e5_3221_f6bb3344b6d68d22,Picada Panamena,Principales,TERRAZA,30,0,2.1,32.1,1,30
