Reporte:,Detalle de facturas de grupos de locales,,,,,,,,,,,,
Periodo:,01 de noviembre de 2024 al 28 de noviembre de 2024,,,,,,,,,,,,
,,,,,,,,,,,,,
Nombre Local,ID Factura,Fecha Fin Transaccion,Codigo Interno del Producto,Codigo producto (Elemetrica),Descripcion del Producto,Descripcion de la Categoria,Categoria 2,Subtotal,Descuentos,Impuestos,Total,Unidades Vendidas,Precio
Restaurant 1,20241101_295146_V10G,1/11/24 16:13,11400020,casacasco01-5d78e012c5714e63_11400020_dbc8e95660df1225,Disaronno Amaretto Trago, Bebidas Alcoholicas, LICORES,8.55,0,0.6,9.15,1,8.55
Restaurant 1,20241101_295144_V10G,1/11/24 16:18,52300003,casacasco01-5d78e012c5714e63_52300003_88017d091cd42dc8,Casacasco Roll,,,14,0,0.98,14.98,1,14
Restaurant 1,20241101_295144_V10G,1/11/24 16:18,21500007,casacasco01-5d78e012c5714e63_21500007_efeb63b6d6a59cfa,Agua Panama Blue 330 ml vidrio, Bebidas No Alcoholicas, AGUA,5,0,0.35,5.35,1,5
Restaurant 1,20241101_295148_V10G,1/11/24 16:37,11100032,casacasco01-5d78e012c5714e63_11100032_66e468eec8a0df2a,Spicy Pineapple, Bebidas Alcoholicas, HOUSE COCKTAILS,13.5,0,0.95,14.45,1,13.5
Restaurant 1,20241101_295148_V10G,1/11/24 16:37,847,casacasco01-5d78e012c5714e63_847_2967791df5b2a256,Guari - Guari, Bebidas Alcoholicas, HOUSE COCKTAILS,13.5,0,0.95,14.45,1,13.5
Restaurant 1,20241101_295148_V10G,1/11/24 16:37,779,casacasco01-5d78e012c5714e63_779_0331e3c45b6fd086,Carajillo, Bebidas Alcoholicas, COCTELES CLASICOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20241101_295148_V10G,1/11/24 16:37,11000015,casacasco01-5d78e012c5714e63_11000015_1df5bd2f7d4b869e,Balboa Roja lata 330 ml, Bebidas Alcoholicas, CERVEZA,5,0,0.35,5.35,1,5
Restaurant 1,20241101_295147_V10G,1/11/24 16:45,673,casacasco01-5d78e012c5714e63_673_635be0c13760b955,Pacific Sunset, Bebidas Alcoholicas, HOUSE COCKTAILS,13.5,0,0.95,14.45,1,13.5
Restaurant 1,20241101_295147_V10G,1/11/24 16:45,847,casacasco01-5d78e012c5714e63_847_2967791df5b2a256,Guari - Guari, Bebidas Alcoholicas, HOUSE COCKTAILS,13.5,0,0.95,14.45,1,13.5
Restaurant 1,20241101_295150_V10G,1/11/24 17:08,2311,casacasco01-5d78e012c5714e63_2311_9e4187e439cbea5b,Sea & Meat,,,36,10.8,1.76,26.96,1,36
Restaurant 1,20241101_295149_V10G,1/11/24 17:18,3217,casacasco01-5d78e012c5714e63_3217_f6bb3344b6d68d22,Picada Panamena, KOBORE, KOBORE TERRAZA,30,0,2.1,32.1,1,30
Restaurant 1,20241101_295154_V10G,1/11/24 17:26,11100014,casacasco01-5d78e012c5714e63_11100014_2e3a885c3d17d465,Aperol Spritz, Bebidas Alcoholicas, COCTELES CLASICOS,25,0,1.75,26.75,2,12.5
