Reporte:,Detalle de facturas de grupos de locales,,,,,,,,,,,,
Periodo:,01 de octubre de 2024 al 31 de octubre de 2024,,,,,,,,,,,,
,,,,,,,,,,,,,
Nombre Local,ID Factura,Fecha Fin Transaccion,Codigo Interno del Producto,Codigo producto (Elemetrica),Descripcion del Producto,Descripcion de la Categoria,Categoria 2,Subtotal,Descuentos,Impuestos,Total,Unidades Vendidas,Precio
Restaurant 1,20241001_291290_V10G,1/10/24 17:41,11100016,casacasco01-5d78e012c5714e63_11100016_cf365daeff3f9969,Pina Colada, Bebidas Alcoholicas, COCTELES CLASICOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20241001_291290_V10G,1/10/24 17:41,1905,casacasco01-5d78e012c5714e63_1905_4a05ccdb9b8d9ab0,Crostini Salmon,,,12,0,0.84,12.84,1,12
Restaurant 1,20241001_291286_V10G,1/10/24 17:50,11000015,casacasco01-5d78e012c5714e63_11000015_1df5bd2f7d4b869e,Balboa Roja lata 330 ml, Bebidas Alcoholicas, CERVEZA,35,0,2.45,37.45,7,5
Restaurant 1,20241001_291286_V10G,1/10/24 17:50,2276,casacasco01-5d78e012c5714e63_2276_b7dc76abed5033d2,Tapeo Ahumado,,,19,0,1.33,20.33,1,19
Restaurant 1,20241001_291286_V10G,1/10/24 17:50,2252,casacasco01-5d78e012c5714e63_2252_6b9e1b98841a682b,Ebi Furai,,,15,0,1.05,16.05,1,15
Restaurant 1,20241001_291286_V10G,1/10/24 17:50,2249,casacasco01-5d78e012c5714e63_2249_fea53836492505d1,Guacamole y Nachos,,,12,0,0.84,12.84,1,12
Restaurant 1,20241001_291286_V10G,1/10/24 17:50,2248,casacasco01-5d78e012c5714e63_2248_5cddd837985b626a,Veggie Spring Rolls,,,10,0,0.7,10.7,1,10
Restaurant 1,20241001_291285_V10G,1/10/24 17:54,3200,casacasco01-5d78e012c5714e63_3200_94c02a0b9fd88b8c,Carribean Cocounut Cocktail, KOBORE, KOBORE TERRAZA,22,0,1.54,23.54,1,22
Restaurant 1,20241001_291285_V10G,1/10/24 17:54,3206,casacasco01-5d78e012c5714e63_3206_563fa0c912a2e0eb,Tiradito de Atun Bocas, KOBORE, KOBORE TERRAZA,19,0,1.33,20.33,1,19
Restaurant 1,20241001_291285_V10G,1/10/24 17:54,3204,casacasco01-5d78e012c5714e63_3204_7f6d6ff93fafa480,Empanaditas Ropa Vieja, KOBORE, KOBORE TERRAZA,15,0,1.05,16.05,1,15
Restaurant 1,20241001_291285_V10G,1/10/24 17:54,994,casacasco01-5d78e012c5714e63_994_c6e7dbc187fc6d7a,Wild Mojito, Bebidas Alcoholicas, HOUSE COCKTAILS,13.5,0,0.95,14.45,1,13.5
Restaurant 1,20241001_291285_V10G,1/10/24 17:54,21500007,casacasco01-5d78e012c5714e63_21500007_efeb63b6d6a59cfa,Agua Panama Blue 330 ml vidrio, Bebidas No Alcoholicas, AGUA,10,0,0.7,10.7,2,5
Restaurant 1,20241001_291297_V10G,1/10/24 18:02,533,casacasco01-5d78e012c5714e63_533_9ae5b680ad7eca55,Flor de Cana 12 Trago, Bebidas Alcoholicas, RON,26,0,1.82,27.82,2,13
Restaurant 1,20241001_291297_V10G,1/10/24 18:02,3206,casacasco01-5d78e012c5714e63_3206_563fa0c912a2e0eb,Tiradito de Atun Bocas, KOBORE, KOBORE TERRAZA,19,0,1.33,20.33,1,19
Restaurant 1,20241001_291297_V10G,1/10/24 18:02,2265,casacasco01-5d78e012c5714e63_2265_e6b46f368d0c52a8,Ceviche Amazonico,,,18,0,1.26,19.26,1,18
Restaurant 1,20241001_291297_V10G,1/10/24 18:02,3185,casacasco01-5d78e012c5714e63_3185_dcd7caf0c81557db,Patacones de Pernil, KOBORE, KOBORE TERRAZA,16,0,1.12,17.12,1,16
Restaurant 1,20241001_291297_V10G,1/10/24 18:02,527,casacasco01-5d78e012c5714e63_527_f8210b0e4fa3f633,Flor de Cana 18 Trago, Bebidas Alcoholicas, RON,16,0,1.12,17.12,1,16
Restaurant 1,20241001_291297_V10G,1/10/24 18:02,10120001,casacasco01-5d78e012c5714e63_10120001_08b9646584cd93c5,Mojito Clasico, Bebidas Alcoholicas, MOJITOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20241001_291297_V10G,1/10/24 18:02,11100001,casacasco01-5d78e012c5714e63_11100001_03e42e3c6954c5c7,Martini Dry Vodka Trago, Bebidas Alcoholicas, COCTELES CLASICOS,12.5,0,0.88,13.38,1,12.5
